id,Park Code,Name,Street,Suburb,Easting,Northing,Latitude,Longitude
1145,D1664,KYOOMBA STREET PARK,MARIE ST,MURARRIE,"510,206.13","6,962,598.02",-27.46010465,153.1032923
1146,D0930,LAAR CRESCENT PARK,LAAR CRES,BOONDALL,"505,707.32","6,973,902.95",-27.35806934,153.0577085
1147,D2252,LACEY ROAD PARK,LACEY RD,CARSELDINE,"501,653.17","6,976,158.24",-27.33771919,153.0167127
1148,D1180,LAGONDA STREET PARK,LAGONDA ST,ANNERLEY,"502,768.58","6,956,891.99",-27.51165403,153.0280328
1149,D2131,LAGOON CRESCENT PARK,LAGOON CRES,BELLBOWRIE,"487,386.51","6,951,734.39",-27.55816041,152.8722305
1150,D2124,LAGUNA PLACE PARK,LAGUNA PL,BRIDGEMAN DOWNS,"500,621.73","6,976,776.73",-27.33213627,153.0062851
1151,D2099,LAKE MANCHESTER ROAD (384-386B),LAKE MANCHESTER RD,KHOLO,"479,496.29","6,956,868.74",-27.5117119,152.7923931
1152,D1938,LAKE MANCHESTER ROAD PARK,DANDYS CT,KHOLO,"479,035.53","6,958,829.35",-27.49400458,152.787762
1153,D1899,LAKE MANCHESTER ROAD RESERVE,LAKE MANCHESTER RD,LAKE MANCHESTER,"474,643.17","6,959,532.30",-27.48758352,152.7433101
1154,D1338,LAKEWOOD AVENUE PARK,ARGYLE PL,PARKINSON,"503,951.35","6,943,217.09",-27.63510607,153.0400535
1155,D1178,LAMBERT MCBRIDE PARK,MULLER RD,ZILLMERE,"505,031.56","6,973,904.57",-27.35805742,153.0508757
1156,D1276,LAMBERTIA CLOSE PARK,LAMBERTIA CL,MT GRAVATT EAST,"509,230.89","6,956,063.50",-27.51910501,153.093472
1157,D3055,LANCEWOOD PLACE PARK,LANCEWOOD PL,MOGGILL,"486,970.67","6,950,809.83",-27.56650324,152.8680082
1158,D0269,LANCING STREET PARK,LANCING ST,PULLENVALE,"489,308.28","6,954,063.32",-27.53715168,152.8917179
1159,D1402,LANG STREET PARK,LANG ST,SUNNYBANK HILLS,"504,712.66","6,948,819.91",-27.58452248,153.0477487
1160,D0117,LANGLANDS PARK,MAIN AVE,COORPAROO,"504,865.49","6,958,574.10",-27.49646209,153.0492579
1161,D0486,LANGLEY AVENUE PARK,MURRAY ST,WILSTON,"501,832.58","6,964,766.83",-27.4405617,153.0185436
1162,D1789,LANHAM CRESCENT PARK,LANHAM CRES,NEWMARKET,"501,014.07","6,965,383.71",-27.43499333,153.0102607
1163,D0498,LANHAM PARK,SELLHEIM ST,GRANGE,"501,757.61","6,966,487.17",-27.42503053,153.0177824
1164,D0498,LANHAM PARK,SELLHEIM ST,GRANGE,"501,882.76","6,966,740.80",-27.42274059,153.0190482
1165,D0667,LANSVALE STREET PARK,LANSVALE ST,MITCHELTON,"497,712.41","6,969,113.16",-27.40132207,152.9768604
1166,D2912,LAPFORD PARK,LAPFORD CRCT,DREWVALE,"504,898.64","6,941,396.59",-27.65153796,153.0496633
1167,D1229,LATHER ROAD PARK,LATHER RD,BELLBOWRIE,"490,417.18","6,952,371.73",-27.55243144,152.902935
1168,D0985,LAUREL OAK PARK,LAUREL OAK DR,ALGESTER,"503,104.04","6,944,156.21",-27.62469555,153.0313546
1169,D2191,LAURENCE ST POCKET PARK (ROAD RESERVE),LAURENCE STREET ST LUCIA,ST LUCIA,"500,297.60","6,959,000.19",-27.49262407,153.0030128
1170,D2038,LAURINA CRESCENT,LAURINA CRES,MCDOWALL,"499,596.43","6,970,205.37",-27.39146338,152.9959181
1171,D0054,LAVARACK PARK,AUBREY ST,CAMP HILL,"508,276.77","6,959,306.96",-27.4898294,153.0837885
1172,D1449,LAWRENCE CLOSE PARK,LAWRENCE CL,ROBERTSON,"505,048.14","6,951,309.85",-27.56204241,153.0511374
1173,D0319,LAWSON STREET PARK,OXLEY RD,OXLEY,"498,156.30","6,951,847.32",-27.55754908,152.981139
1174,D1741,LAYSON STREET PARK,CHURCH RD,TAIGUM,"504,670.42","6,975,083.35",-27.34741653,153.0472196
1175,D0989,LEACROFT ROAD PARK,LEACROFT RD,BURBANK,"517,065.54","6,950,364.11",-27.57048237,153.1728863
1176,D0671,LECKMY STREET PARK,MULLACOR ST,FERNY GROVE,"492,871.33","6,969,373.42",-27.39895573,152.9278932
1177,D1336,LEE CLOSE PARK,LEE CL,RUNCORN,"508,011.90","6,946,872.32",-27.60208946,153.0811896
1178,D0603,LEICESTER STREET PARK,LEICESTER ST,COORPAROO,"506,623.77","6,958,531.59",-27.49683849,153.0670588
1179,D0224,LEN TREZONA PARK,MURPHY RD,ZILLMERE,"503,648.24","6,973,297.45",-27.36354298,153.0368903
1180,D0290,LENDON STREET PARK,LENDON ST,DEAGON,"506,782.87","6,977,686.99",-27.32390152,153.0685627
1181,D1104,LEONARD STREET PARK,ANNIE ST,WOOLLOONGABBA,"504,606.71","6,958,818.18",-27.4942595,153.0466371
1182,D0966,LEOS PARK,DIXON ST,ASHGROVE,"499,042.54","6,964,965.79",-27.4387664,152.9903118
1183,D0572,LES ATKINSON PARK,BEENLEIGH RD,SUNNYBANK,"505,439.80","6,949,065.15",-27.58230572,153.055115
1184,D1736,LEVINGTON ROAD PARK,UNDERWOOD RD,EIGHT MILE PLNS,"509,621.10","6,948,169.85",-27.5903651,153.0974862
1185,D0979,LEVITT ROAD PARK,LEVITT RD,UPR KEDRON,"494,069.97","6,966,600.46",-27.4239959,152.940004
1186,D1591,LEWIS PLACE PARK,WONDALL RD,MANLY WEST,"515,430.18","6,961,952.92",-27.46587939,153.156171
1187,D1407,LEWORTHY STREET PARK,LEWORTHY ST,BARDON,"497,717.85","6,962,371.62",-27.46218498,152.9769028
1188,D0417,LEX ORD PARK,INDOOROOPILLY RD,TARINGA,"499,161.72","6,958,041.17",-27.50128181,152.9915129
1189,D1207,LEXUS STREET PARK,LEXUS ST,RUNCORN,"507,371.01","6,947,040.96",-27.60057065,153.0746941
1190,D0374,LEYSHON PARK,BRISBANE CSO,YERONGA,"501,608.37","6,957,279.55",-27.50815706,153.0162848
1191,D0555,LILLIAN AVENUE PARK,LILLIAN AVE,SALISBURY,"503,748.49","6,951,976.20",-27.55603098,153.03797
1192,D1173,LINDEMAN PLACE PARK,HOLMEAD RD,EIGHT MILE PLNS,"510,131.92","6,950,094.33",-27.57298744,153.102646
1193,D1887,LIONS NATURE TRAIL PARK,CANDOWIE CRES,KARANA DOWNS,"482,239.84","6,953,961.99",-27.53658779,152.8196339
1194,D1204,LIQUIDAMBAR PLACE PARK,LIQUIDAMBAR PL,STRETTON,"506,383.85","6,944,863.02",-27.62023762,153.0647022
1195,D1412,LITTLE BAYSIDE PARK,ROYAL ESP,MANLY,"518,491.49","6,962,856.14",-27.45487823,153.1869812
1196,D1699,LIVESAY ROAD PARK,BEAUFORT CRES,MOGGILL,"488,601.96","6,950,649.76",-27.56796303,152.8845323
1197,D1970,LOCKROSE STREET PARK,LOCKROSE ST,MITCHELTON,"496,644.81","6,967,600.50",-27.41497629,152.9660572
1198,D0899,LOFFS ROAD PARK,LOFFS RD,MIDDLE PARK,"492,985.26","6,952,397.48",-27.55221474,152.9289474
1199,D1903,LOGAN ROAD PARK (NO.2588),LOGAN RD,EIGHT MILE PLNS,"509,875.25","6,949,251.17",-27.58091966,153.1001559
1200,D1915,LOGAN ROAD PARK (NO.2641),LOGAN RD,EIGHT MILE PLNS,"509,757.08","6,948,779.39",-27.58486129,153.0988591
1201,D2593,LONE PINE PARK,JESMOND RD,FIG TREE POCKET,"497,028.25","6,954,703.72",-27.5314091,152.9699046
1202,D1629,LONGBILL PLACE PARK,LONGBILL PL,TAIGUM,"505,072.40","6,976,107.20",-27.33817156,153.0512795
1203,D1650,LONGLAND STREET PARK,STAFFORD RD,STAFFORD,"499,879.04","6,968,095.51",-27.41051141,152.9987764
1204,D1182,LONGTON COURT PARK (NO.100),LONGTON CT,BURBANK,"516,713.67","6,948,301.95",-27.58910352,153.1693499
1205,D0848,LORIKEET PARK,WOODLAND ST,ALGESTER,"504,107.01","6,946,667.09",-27.60395967,153.0416197
1206,D1864,LORIKEET PARK,ARRABRI AVE,MT OMMANEY,"493,510.30","6,952,723.55",-27.54927363,152.9342673
1207,D0530,LOTA CAMPING RESERVE,ESPLANADE,LOTA,"518,983.16","6,961,975.04",-27.46563467,153.1921307
1208,D1495,LOTA CREEK ESPLANADE PARK (ROAD RESERVE),ESPLANADE,LOTA,"518,989.12","6,960,967.90",-27.47472702,153.1922067
1209,D0533,LOTA CREEK RESERVE,BELTANA ST,LOTA,"518,631.28","6,961,195.28",-27.47267924,153.1885812
1210,D1501,LOTA ESPLANADE PARK (ROAD RESERVE),ESPLANADE,LOTA,"518,992.82","6,961,290.42",-27.47181526,153.1922392
1211,D1398,LOTA POINT PARK (ROAD RESERVE),ESPLANADE,LOTA,"519,074.14","6,961,094.68",-27.47358127,153.1930653
1212,D2156,LOVE STREET PARK,LOVE ST,BULIMBA,"505,484.61","6,963,245.82",-27.45428356,153.0555047
1213,D0321,LUCOCK PLACE PARK,STEPHENSON ST,OXLEY,"497,104.59","6,951,484.80",-27.56046933,152.9706701
1214,D0946,LUDLOW STREET PARK,LUDLOW ST,CHAPEL HILL,"495,327.16","6,957,885.88",-27.50267596,152.9526898
1215,D0615,LUGG STREET PARK,LUGG ST,RED HILL,"499,233.13","6,963,829.73",-27.44902284,152.9922396
1216,D1616,LUTWYCHE ROAD PARK (NO.725A),LUTWYCHE RD,KEDRON,"503,658.17","6,967,820.77",-27.41298691,153.0370072
1217,D1790,LUXWORTH PLACE (ROAD RESERVE),BEAUDESERT RD,MOOROOKA,"502,358.75","6,954,643.73",-27.5319519,153.0238875
1218,D2372,LYELL CRESCENT PARK,LYELL CRES,MCDOWALL,"498,906.20","6,970,097.33",-27.39243838,152.9889368
1219,D1185,LYNELLE STREET PARK (LOT 300),THE AVENUE,SUNNYBANK HILLS,"505,006.18","6,946,859.28",-27.60222161,153.0507309
1220,D0345,LYONS PLAYGROUND PARK,PARADISE ST,HIGHGATE HILL,"501,251.50","6,959,410.90",-27.48891569,153.0126693
1221,D2188,LYREBIRD CLOSE PARK,LYREBIRD CL,TAIGUM,"504,896.56","6,976,024.09",-27.33892259,153.0495022
1222,D0740,LYTTON ROAD PARK,LYTTON RD,MORNINGSIDE,"507,192.87","6,963,416.51",-27.45273466,153.0727914
1223,D0339,M. Z. HOLLAND MEMORIAL PARK,MONTEREY ST,WACOL,"492,249.05","6,947,917.38",-27.59265637,152.9214615
1224,D1541,MACADAMIA STREET PARK,MARTY ST,WYNNUM WEST,"514,627.10","6,963,673.82",-27.45035199,153.1480221
1225,D2158,MACARANGA CRESCENT PARK,MACARANGA CRES,CARSELDINE,"501,300.14","6,975,930.64",-27.33977442,153.013144
1226,D1345,MACKENZIE PLACE PARK (ROAD RESERVE),AUBIGNY ST,ANNERLEY,"502,853.71","6,955,603.83",-27.52328321,153.0288978
1227,D1325,MACLEAY CRESCENT PARK,MACLEAY CRES,TINGALPA,"514,279.11","6,961,233.57",-27.47238622,153.1445293
1228,D0041,MACPHERSON'S OUTLOOK PARK,WALDO ST,NORMAN PARK,"505,671.16","6,961,264.15",-27.4721733,153.0574019
1229,D2009,MACQUARIE WAY PARK (NO.123),MACQUARIE WAY,DREWVALE,"505,629.58","6,941,240.94",-27.6529403,153.0570744
1230,D1323,MACTIER STREET PARK,FIG TREE POCKET RD,FIG TREE POCKET,"496,396.03","6,954,186.08",-27.53608084,152.9635006
1231,D1045,MACULATA DRIVE PARK,MACULATA DR,CHAPEL HILL,"494,315.59","6,957,714.28",-27.5042213,152.9424474
1232,D0752,MAGENTA STREET PARK,BILSEN RD,WAVELL HEIGHTS,"504,929.32","6,971,426.89",-27.38042653,153.049852
1233,D0233,MAGGS STREET PARK,TAYLOR ST,WAVELL HEIGHTS,"503,913.28","6,969,612.96",-27.39680616,153.0395822
1234,D2472,MAIDSTONE STREET PARK,MAIDSTONE ST,KELVIN GROVE,"501,547.22","6,963,215.43",-27.45456809,153.015658
1235,D1098,MAIN AVENUE PARK,WARR ST,WAVELL HEIGHTS,"504,997.04","6,971,011.32",-27.38417813,153.0505385
1236,D2034,MAIN BEACH ROAD,MAIN BEACH RD,PINKENBA,"515,238.15","6,972,771.97",-27.36820708,153.1540919
1237,D2034,MAIN BEACH ROAD,MAIN BEACH RD,PINKENBA,"515,769.77","6,971,767.28",-27.37727126,153.1594807
1238,D0100,MAIN STREET PARK (KANGAROO POINT),MAIN ST,KANGAROO POINT,"503,519.28","6,961,534.21",-27.46974247,153.0356203
1239,D1088,MAINS ROAD PARK,DELFIN DR,MACGREGOR,"506,442.06","6,950,779.94",-27.56682052,153.0652606
1240,D1144,MAISIE DIXON PARK,NARDIE ST,EIGHT MILE PLNS,"509,973.68","6,950,629.05",-27.5672827,153.1009274
1241,D0118,MAJESTIC PARK,PARK ST,COORPAROO,"506,646.50","6,957,256.67",-27.50834826,153.0672959
1242,D2127,MALAGA STREET PARK,MALAGA ST,EVERTON PARK,"498,735.82","6,970,397.48",-27.38972847,152.9872138
1243,D1884,MALCOLM MCDOUGALL PARK,SCRIVEN ST,MT CROSBY,"480,178.15","6,953,633.48",-27.54092944,152.7992443
1244,D1121,MALINYA PLACE PARK,DELAVAN ST,WISHART,"509,453.25","6,951,219.39",-27.56283548,153.0957616
1245,D0257,MANATON PARK,JESMOND RD,FIG TREE POCKET,"496,528.15","6,956,590.68",-27.51437262,152.9648455
1246,D1537,MANCHESTER STREET PARK,LOGAN RD,EIGHT MILE PLNS,"509,113.99","6,949,825.24",-27.57542405,153.0923355
1247,D0703,MANGO STREET PARK,MANGO ST,RUNCORN,"508,003.07","6,947,616.74",-27.595369,153.0810952
1248,D2013,MANLY ROAD PARK (NO.338),MANLY RD,MANLY WEST,"516,987.54","6,960,878.32",-27.47556221,153.1719482
1249,D1582,MANLY ROAD PARK (NO.880),MANLY RD,WAKERLEY,"514,382.33","6,960,730.41",-27.47692764,153.1455801
1250,D0503,MANN PARK,BYRNE ST,WINDSOR,"503,261.61","6,964,679.50",-27.4413474,153.0330039
1251,D0926,MANSFIELD PARK (ROAD RESERVE),GILGANDRA ST,INDOOROOPILLY,"498,727.61","6,957,266.15",-27.50827834,152.987117
1252,D1319,MARATHON STREET PARK,MARATHON ST,ASPLEY,"503,426.77","6,972,449.26",-27.37120109,153.0346532
